-183.108, 76.934, 1.601,  2.623, -0.018,  0.314, 1.861
-183.099, 76.881, 1.606,  2.656, -0.017,  0.315, 1.867
-183.090, 76.828, 1.611,  2.689, -0.016,  0.316, 1.872
-183.081, 76.775, 1.617,  2.722, -0.016,  0.316, 1.877
-183.072, 76.722, 1.622,  2.755, -0.015,  0.317, 1.883
-183.062, 76.668, 1.627,  2.788, -0.015,  0.317, 1.888
-183.053, 76.615, 1.632,  2.821, -0.014,  0.317, 1.893
-183.044, 76.561, 1.638,  2.854, -0.014,  0.318, 1.899
-183.035, 76.507, 1.643,  2.887, -0.013,  0.319, 1.904
-183.026, 76.453, 1.649,  2.920, -0.013,  0.319, 1.909
-183.016, 76.399, 1.654,  2.953, -0.012,  0.320, 1.915
-183.007, 76.344, 1.660,  2.986, -0.012,  0.320, 1.920
-182.998, 76.290, 1.665,  3.019, -0.011,  0.321, 1.926
-182.988, 76.235, 1.671,  3.052, -0.011,  0.320, 1.931
-182.979, 76.180, 1.676,  3.085, -0.011,  0.321, 1.937
-182.969, 76.125, 1.682,  3.118, -0.010,  0.321, 1.942
-182.960, 76.069, 1.687,  3.151, -0.010,  0.322, 1.948
-182.950, 76.014, 1.693,  3.184, -0.034,  0.322, 1.953
-182.941, 75.958, 1.698,  3.217, -0.033,  0.323, 1.959
-182.932, 75.902, 1.703,  3.250, -0.031,  0.324, 1.965
-182.924, 75.845, 1.709,  3.283, -0.030,  0.324, 1.970
-182.915, 75.789, 1.715,  3.316, -0.029,  0.324, 1.976
-182.906, 75.732, 1.720,  3.349, -0.028,  0.325, 1.982
-182.897, 75.676, 1.726,  3.382, -0.027,  0.325, 1.987
-182.888, 75.619, 1.732,  3.415, -0.026,  0.326, 1.993
-182.879, 75.561, 1.737,  3.448, -0.025,  0.326, 1.999
-182.870, 75.504, 1.743,  3.481, -0.024,  0.327, 2.004
-182.861, 75.446, 1.749,  3.514, -0.024,  0.327, 2.010
-182.852, 75.389, 1.755,  3.547, -0.023,  0.327, 2.015
-182.843, 75.331, 1.761,  3.580, -0.022,  0.327, 2.021
-182.834, 75.273, 1.766,  3.613, -0.021,  0.328, 2.027
-182.825, 75.214, 1.772,  3.646, -0.020,  0.329, 2.033
-182.815, 75.156, 1.778,  3.679, -0.020,  0.329, 2.039
-182.806, 75.097, 1.784,  3.712, -0.019,  0.330, 2.045
-182.797, 75.038, 1.789,  3.745, -0.018,  0.331, 2.051
-182.788, 74.979, 1.795,  3.778, -0.038,  0.331, 2.057
-182.779, 74.920, 1.801,  3.811, -0.037,  0.332, 2.063
-182.771, 74.860, 1.807,  3.844, -0.036,  0.333, 2.069
-182.762, 74.800, 1.812,  3.877, -0.035,  0.333, 2.075
-182.753, 74.740, 1.819,  3.910, -0.033,  0.334, 2.081
-182.745, 74.680, 1.825,  3.943, -0.032,  0.334, 2.087
-182.736, 74.620, 1.831,  3.976, -0.031,  0.334, 2.093
-182.727, 74.559, 1.837,  4.009, -0.030,  0.334, 2.099
-182.719, 74.499, 1.843,  4.042, -0.029,  0.335, 2.105
-182.710, 74.438, 1.849,  4.075, -0.028,  0.335, 2.111
-182.701, 74.376, 1.855,  4.108, -0.027,  0.335, 2.117
-182.693, 74.315, 1.861,  4.141, -0.026,  0.336, 2.123
-182.684, 74.253, 1.867,  4.174, -0.025,  0.337, 2.129
-182.675, 74.192, 1.873,  4.207, -0.024,  0.337, 2.135
-182.666, 74.130, 1.879,  4.240, -0.023,  0.338, 2.141
-182.657, 74.068, 1.885,  4.273, -0.023,  0.338, 2.147
-182.649, 74.005, 1.891,  4.306, -0.022,  0.338, 2.153
-182.640, 73.943, 1.897,  4.339, -0.038,  0.340, 2.160
-182.631, 73.880, 1.903,  4.372, -0.037,  0.340, 2.166
-182.623, 73.817, 1.909,  4.405, -0.036,  0.341, 2.172
-182.615, 73.753, 1.915,  4.438, -0.035,  0.342, 2.179
-182.606, 73.690, 1.922,  4.471, -0.034,  0.342, 2.185
-182.598, 73.626, 1.928,  4.504, -0.032,  0.343, 2.192
-182.590, 73.562, 1.934,  4.537, -0.031,  0.343, 2.198
-182.581, 73.498, 1.941,  4.570, -0.030,  0.343, 2.204
-182.573, 73.434, 1.947,  4.603, -0.029,  0.344, 2.211
-182.565, 73.369, 1.954,  4.636, -0.028,  0.344, 2.217
-182.556, 73.305, 1.960,  4.669, -0.027,  0.345, 2.224
-182.548, 73.240, 1.966,  4.702, -0.026,  0.345, 2.230
-182.540, 73.174, 1.973,  4.735, -0.025,  0.346, 2.237
-182.531, 73.109, 1.979,  4.768, -0.025,  0.346, 2.243
-182.523, 73.043, 1.986,  4.801, -0.024,  0.347, 2.250
-182.514, 72.978, 1.992,  4.834, -0.023,  0.348, 2.257
-182.506, 72.912, 1.999,  4.867, -0.037,  0.348, 2.263
-182.498, 72.845, 2.005,  4.900, -0.036,  0.349, 2.270
-182.490, 72.779, 2.011,  4.933, -0.035,  0.349, 2.276
-182.482, 72.712, 2.018,  4.966, -0.033,  0.350, 2.283
-182.474, 72.645, 2.024,  4.999, -0.032,  0.351, 2.290
-182.466, 72.578, 2.031,  5.032, -0.031,  0.352, 2.297
-182.458, 72.510, 2.038,  5.065, -0.030,  0.352, 2.303
-182.450, 72.443, 2.044,  5.098, -0.029,  0.353, 2.310
-182.442, 72.375, 2.051,  5.131, -0.028,  0.354, 2.317
-182.434, 72.307, 2.058,  5.164, -0.027,  0.353, 2.323
-182.426, 72.239, 2.064,  5.197, -0.026,  0.354, 2.330
-182.418, 72.170, 2.071,  5.230, -0.025,  0.355, 2.337
-182.410, 72.101, 2.078,  5.263, -0.025,  0.355, 2.344
-182.402, 72.032, 2.085,  5.296, -0.024,  0.356, 2.351
-182.394, 71.963, 2.091,  5.329, -0.023,  0.357, 2.358
-182.386, 71.894, 2.098,  5.362, -0.035,  0.357, 2.365
-182.379, 71.824, 2.105,  5.395, -0.034,  0.358, 2.372
-182.371, 71.754, 2.111,  5.428, -0.033,  0.359, 2.379
-182.363, 71.684, 2.118,  5.461, -0.032,  0.359, 2.386
-182.356, 71.613, 2.125,  5.494, -0.030,  0.360, 2.393
-182.348, 71.543, 2.132,  5.527, -0.029,  0.360, 2.400
-182.341, 71.472, 2.139,  5.560, -0.028,  0.361, 2.407
-182.333, 71.401, 2.146,  5.593, -0.027,  0.362, 2.414
-182.326, 71.330, 2.153,  5.626, -0.027,  0.362, 2.421
-182.318, 71.258, 2.160,  5.659, -0.026,  0.363, 2.428
-182.310, 71.186, 2.167,  5.692, -0.025,  0.363, 2.435
-182.303, 71.114, 2.174,  5.725, -0.024,  0.364, 2.443
-182.295, 71.042, 2.181,  5.758, -0.023,  0.365, 2.450
-182.288, 70.969, 2.188,  5.791, -0.022,  0.365, 2.457
-182.280, 70.897, 2.195,  5.824, -0.032,  0.365, 2.464
-182.273, 70.824, 2.202,  5.857, -0.031,  0.367, 2.472
-182.266, 70.750, 2.209,  5.890, -0.030,  0.367, 2.479
-182.259, 70.677, 2.216,  5.923, -0.029,  0.368, 2.487
-182.251, 70.603, 2.224,  5.956, -0.028,  0.369, 2.494
-182.244, 70.529, 2.231,  5.989, -0.027,  0.369, 2.501
-182.237, 70.455, 2.238,  6.022, -0.027,  0.370, 2.509
-182.230, 70.381, 2.245,  6.055, -0.026,  0.370, 2.516
-182.223, 70.306, 2.253,  6.088, -0.025,  0.371, 2.524
-182.216, 70.231, 2.260,  6.121, -0.024,  0.371, 2.531
-182.208, 70.156, 2.267,  6.154, -0.023,  0.372, 2.539
-182.201, 70.080, 2.275,  6.187, -0.022,  0.373, 2.547
-182.194, 70.005, 2.282,  6.220, -0.022,  0.373, 2.554
-182.187, 69.929, 2.289,  6.253, -0.021,  0.375, 2.561
-182.180, 69.853, 2.297,  6.286, -0.029,  0.375, 2.568
-182.173, 69.776, 2.304,  6.319, -0.029,  0.376, 2.576
-182.166, 69.699, 2.311,  6.352, -0.028,  0.377, 2.584
-182.159, 69.623, 2.319,  6.385, -0.027,  0.378, 2.592
-182.153, 69.545, 2.326,  6.418, -0.026,  0.378, 2.599
-182.146, 69.468, 2.334,  6.451, -0.025,  0.379, 2.607
-182.139, 69.390, 2.341,  6.484, -0.024,  0.380, 2.615
-182.132, 69.312, 2.349,  6.517, -0.023,  0.381, 2.623
-182.126, 69.234, 2.356,  6.550, -0.023,  0.380, 2.630
-182.119, 69.156, 2.364,  6.583, -0.022,  0.381, 2.638
-182.112, 69.077, 2.372,  6.616, -0.021,  0.382, 2.646
-182.106, 68.998, 2.379,  6.649, -0.020,  0.383, 2.654
-182.099, 68.919, 2.387,  6.682, -0.020,  0.384, 2.662
-182.092, 68.839, 2.395,  6.715, -0.027,  0.384, 2.670
-182.086, 68.759, 2.402,  6.748, -0.026,  0.385, 2.678
-182.079, 68.679, 2.410,  6.781, -0.025,  0.386, 2.686
-182.073, 68.599, 2.418,  6.814, -0.024,  0.387, 2.694
-182.067, 68.519, 2.425,  6.847, -0.024,  0.387, 2.702
-182.060, 68.438, 2.433,  6.880, -0.023,  0.388, 2.710
-182.054, 68.357, 2.441,  6.913, -0.022,  0.389, 2.718
-182.048, 68.275, 2.449,  6.946, -0.021,  0.389, 2.726
-182.041, 68.194, 2.457,  6.979, -0.021,  0.391, 2.735
-182.035, 68.112, 2.465,  7.012, -0.020,  0.391, 2.743
-182.029, 68.030, 2.473,  7.045, -0.019,  0.392, 2.751
-182.022, 67.947, 2.481,  7.078, -0.019,  0.392, 2.759
-182.016, 67.865, 2.489,  7.111, -0.018,  0.393, 2.768
-182.010, 67.782, 2.497,  7.144, -0.024,  0.394, 2.776
-182.004, 67.699, 2.505,  7.177, -0.024,  0.394, 2.784
-181.998, 67.615, 2.513,  7.210, -0.023,  0.396, 2.793
-181.992, 67.531, 2.521,  7.243, -0.022,  0.396, 2.801
-181.986, 67.447, 2.529,  7.276, -0.021,  0.397, 2.810
-181.980, 67.363, 2.537,  7.309, -0.021,  0.398, 2.818
-181.974, 67.278, 2.545,  7.342, -0.020,  0.398, 2.826
-181.968, 67.194, 2.554,  7.375, -0.019,  0.399, 2.834
-181.962, 67.108, 2.562,  7.408, -0.019,  0.400, 2.843
-181.956, 67.023, 2.570,  7.441, -0.018,  0.401, 2.852
-181.951, 66.937, 2.578,  7.474, -0.018,  0.401, 2.860
-181.945, 66.851, 2.587,  7.507, -0.017,  0.402, 2.869
-181.939, 66.765, 2.595,  7.540, -0.019,  0.403, 2.878
-181.933, 66.679, 2.603,  7.573, -0.019,  0.404, 2.886
-181.927, 66.592, 2.612,  7.606, -0.018,  0.405, 2.895
-181.922, 66.505, 2.620,  7.639, -0.018,  0.406, 2.904
-181.916, 66.417, 2.628,  7.672, -0.017,  0.406, 2.912
-181.910, 66.330, 2.637,  7.705, -0.017,  0.407, 2.921
-181.905, 66.242, 2.645,  7.738, -0.016,  0.407, 2.930
-181.899, 66.154, 2.654,  7.771, -0.016,  0.408, 2.939
-181.893, 66.065, 2.662,  7.804, -0.015,  0.409, 2.948
-181.888, 65.976, 2.671,  7.837, -0.015,  0.410, 2.956
-181.882, 65.887, 2.679,  7.870, -0.014,  0.411, 2.965
-181.876, 65.798, 2.688,  7.903, -0.014,  0.412, 2.974
-181.871, 65.708, 2.697,  7.936, -0.019,  0.413, 2.983
-181.865, 65.618, 2.705,  7.969, -0.018,  0.413, 2.992
-181.860, 65.528, 2.714,  8.002, -0.017,  0.414, 3.001
-181.855, 65.437, 2.723,  8.035, -0.017,  0.415, 3.010
-181.849, 65.347, 2.732,  8.068, -0.016,  0.415, 3.019
